"y","x1","x2","x3","x4","x5","x6","x7","x8","x9"
0,-4.62384349992499,0.73,0.5329,0.567846277495846,0.90782043337822,0.4,0.0805547370109707,1.42165712257539,0.0331870436762575
0,0.935861376579851,0.69,0.4761,0.548689349554479,0.515548045514151,0.5,0.196813534712419,0.0788383138953324,-2.01047196806841
0,-0.108625148888677,-0.78,0.6084,0.23722471576184,0.923035620478913,-0.3,0.488672148901969,0.803256983129235,0.145831801402765
0,-2.00939800776541,0.36,0.1296,0.0302111553028226,0.417083438718691,-0.6,0.734035938745365,0.198808084255536,0.692019166563864
0,-4.91970368940383,0.12,0.0144,0.410101126646623,0.0416000243276358,0.5,0.10954471398145,0.0113900429394117,1.01095354828123
0,-4.2864511241205,-0.01,0.0001,0.2542371195741,0.369566660141572,-1.2,0.58487606793642,-0.741663964795092,1.1901656262297
0,-0.872128767892718,1.84,3.3856,0.530085988109931,0.107645520474762,1.7,0.929138085339218,0.106294254442814,0.831112549686318
0,-0.299480715300888,-0.16,0.0256,0.346233239164576,0.504481408279389,-0.7,0.254215375054628,1.77754855034346,-0.296984695956457
0,-0.761480395682156,-0.26,0.0676,0.931058669229969,0.577607022132725,-0.2,0.215812503593042,-0.207804104787426,-1.04389387484191
0,-0.459643065463752,-0.56,0.3136,0.369236757280305,0.500046398257837,1,0.527376873651519,-1.87156183651344,-1.38287615560582
0,-1.70534162176773,1.94,3.7636,0.377636918565258,0.151185761205852,-0.7,0.550587801728398,-0.927007839285576,1.0921616479312
0,-4.65255227126181,1.98,3.9204,0.818435320165008,0.162426690803841,-0.8,0.407497902633622,-1.29046466826272,-2.4636714514444
0,-1.74995845742524,1.48,2.1904,0.861392667284235,0.215267079649493,-0.6,0.52381746750325,-0.523550532432467,0.673477648029081
0,-3.50499382754788,-0.42,0.1764,0.798040870344266,0.306619000853971,-0.1,0.700284250080585,-0.160167630068007,2.49496573915109
0,-0.978348301723599,1.94,3.7636,0.215271555352956,0.3928792567458,-0.5,0.30915775266476,-0.102309376684221,1.78326147467083
0,-4.45377570576966,-0.92,0.8464,0.198908238206059,0.799620167119429,2.2,0.61751943314448,0.528018984683864,0.0700185226987457
0,-1.39433161728084,1.92,3.6864,0.305729978950694,0.0591094796545804,-0.1,0.356842775363475,-0.154863064932636,-0.564509376832784
0,-1.95471519092098,1.77,3.1329,0.989846236072481,0.736365754855797,0.9,0.956155965803191,-0.260885680500292,1.28772945829312
0,-3.18703721603379,0.02,0.0004,0.316322783241048,0.569534386042506,1.5,0.333366334903985,0.3183734622805,-1.85093524510934
0,-2.49495330313221,-0.26,0.0676,0.436194541398436,0.0632765032351017,1,0.792959219776094,0.168724475832554,-0.782764499451064
0,-1.62075357558206,1.55,2.4025,0.679272634210065,0.918157519772649,-1.9,0.974153983173892,-1.38894671020692,-0.0147449646776177
0,-3.80899657914415,1.17,1.3689,0.400227349251509,0.24895976181142,0.5,0.177498031174764,-1.59341733025712,-1.96431109897224
0,-1.15312356548384,-0.86,0.7396,0.72044484782964,0.0179072970058769,0.1,0.485411159461364,-0.51812168276615,0.47445752817551
