"y","x1","x2","x3"
0,-1.54,3,2.96283423481509
0,-1.61,2.9,2.71146270772442
0,-4.56,2.9,2.61748353415169
0,-2.28,2.5,2.40619939449243
0,-2.76,3,2.77412625681609
0,-3.01,2.9,2.28014960908331
0,0.69,2.1,2.14127644151449
0,-3.31,2.7,2.58892294554971
0,-3.53,2.2,2.52562386565842
0,-4.12,2.8,2.66486319014803
0,0.88,2.6,2.89664240949787
0,0.96,3,2.25390817201696
0,-0.04,2.7,2.86432289262302
0,-3.84,2.3,2.93193693528883
0,0.89,2.2,2.13060090458021
0,-4.85,2.7,2.13152045244351
0,0.83,2.8,2.99971560807899
0,0.54,2.5,2.52737472485751
0,-2.97,2.7,2.23584803612903
0,-3.52,2.2,2.55064823990688
0,0.09,2.1,2.3718891213648
0,-0.66,2.3,2.79743165057153
0,-4.72,2.4,2.29813433322124
0,-4.08,2.1,2.06429242854938
0,-1.62,2.4,2.69991384935565
